image_id,dataset,species,split,width,height,aspect_ratio,area
0,LynxID2025,lynx,train,712,712,1.0,506944
1,LynxID2025,lynx,train,1134,1134,1.0,1285956
2,LynxID2025,lynx,train,745,745,1.0,555025
3,LynxID2025,lynx,test,1765,1765,1.0,3115225
4,LynxID2025,lynx,train,1080,1080,1.0,1166400
5,LynxID2025,lynx,test,737,737,1.0,543169
6,LynxID2025,lynx,train,774,774,1.0,599076
7,LynxID2025,lynx,train,631,631,1.0,398161
8,LynxID2025,lynx,train,691,691,1.0,477481
9,LynxID2025,lynx,train,1872,1872,1.0,3504384
10,LynxID2025,lynx,train,1357,1357,1.0,1841449
11,LynxID2025,lynx,train,979,979,1.0,958441
12,LynxID2025,lynx,test,937,937,1.0,877969
13,LynxID2025,lynx,test,1405,1405,1.0,1974025
14,LynxID2025,lynx,train,738,738,1.0,544644
15,LynxID2025,lynx,train,901,901,1.0,811801
16,LynxID2025,lynx,train,667,667,1.0,444889
17,LynxID2025,lynx,train,4075,4075,1.0,16605625
18,LynxID2025,lynx,test,2069,2069,1.0,4280761
19,LynxID2025,lynx,test,1278,1278,1.0,1633284
20,LynxID2025,lynx,train,413,413,1.0,170569
21,LynxID2025,lynx,train,1151,1151,1.0,1324801
22,LynxID2025,lynx,train,457,457,1.0,208849
23,LynxID2025,lynx,train,919,919,1.0,844561
24,LynxID2025,lynx,train,709,709,1.0,502681
25,LynxID2025,lynx,train,739,739,1.0,546121
26,LynxID2025,lynx,train,1267,1267,1.0,1605289
27,LynxID2025,lynx,test,1980,1980,1.0,3920400
28,LynxID2025,lynx,train,944,944,1.0,891136
29,LynxID2025,lynx,train,1238,1238,1.0,1532644
30,LynxID2025,lynx,train,619,619,1.0,383161
31,LynxID2025,lynx,train,619,619,1.0,383161
32,LynxID2025,lynx,train,2131,2131,1.0,4541161
33,LynxID2025,lynx,test,1026,1026,1.0,1052676
34,LynxID2025,lynx,train,1008,1008,1.0,1016064
35,LynxID2025,lynx,train,1313,1313,1.0,1723969
36,LynxID2025,lynx,test,2773,2773,1.0,7689529
37,LynxID2025,lynx,train,684,684,1.0,467856
38,LynxID2025,lynx,train,476,476,1.0,226576
39,LynxID2025,lynx,train,755,755,1.0,570025
40,LynxID2025,lynx,train,1117,1117,1.0,1247689
41,LynxID2025,lynx,train,1441,1441,1.0,2076481
42,LynxID2025,lynx,train,1293,1293,1.0,1671849
43,LynxID2025,lynx,train,776,776,1.0,602176
44,LynxID2025,lynx,train,793,793,1.0,628849
45,LynxID2025,lynx,test,757,757,1.0,573049
46,LynxID2025,lynx,test,2267,2267,1.0,5139289
47,LynxID2025,lynx,test,715,715,1.0,511225
48,LynxID2025,lynx,test,1045,1045,1.0,1092025
49,LynxID2025,lynx,test,655,655,1.0,429025
50,LynxID2025,lynx,train,900,900,1.0,810000
51,LynxID2025,lynx,train,979,979,1.0,958441
52,LynxID2025,lynx,train,1045,1045,1.0,1092025
53,LynxID2025,lynx,train,918,918,1.0,842724
54,LynxID2025,lynx,train,865,865,1.0,748225
55,LynxID2025,lynx,test,1908,1908,1.0,3640464
