image_id,umap_x,umap_y,cluster,dataset
14709,4.8956547,-3.008707,-1,SeaTurtleID2022
14711,5.440549,-2.683553,-1,SeaTurtleID2022
14712,3.3774018,1.0613735,-1,SeaTurtleID2022
14714,4.7781606,-3.6493957,-1,SeaTurtleID2022
14715,5.0575147,-0.48442638,-1,SeaTurtleID2022
14716,3.7245662,-2.2808526,-1,SeaTurtleID2022
14718,2.5046074,-2.407841,-1,SeaTurtleID2022
14719,6.703237,-1.9123986,-1,SeaTurtleID2022
14720,5.3897676,-2.073679,-1,SeaTurtleID2022
14724,1.838141,-2.6409943,-1,SeaTurtleID2022
14725,2.208357,-1.9738724,-1,SeaTurtleID2022
14726,5.891727,-1.9978868,-1,SeaTurtleID2022
14727,2.179176,-0.03213125,0,SeaTurtleID2022
14728,4.4786105,-0.8885954,-1,SeaTurtleID2022
14731,6.326325,-1.2749574,-1,SeaTurtleID2022
14732,2.1338315,0.019212326,0,SeaTurtleID2022
14733,4.321715,-3.2270837,-1,SeaTurtleID2022
14734,4.27649,-1.5443428,-1,SeaTurtleID2022
14735,4.7491775,-2.9954746,-1,SeaTurtleID2022
14738,4.4628367,-1.9002638,-1,SeaTurtleID2022
14739,2.638929,0.31774214,-1,SeaTurtleID2022
14740,2.9282522,-1.3730108,-1,SeaTurtleID2022
14742,6.2185855,-2.5123487,-1,SeaTurtleID2022
14745,4.9008393,-0.6384671,-1,SeaTurtleID2022
14746,3.642764,1.3157775,-1,SeaTurtleID2022
14747,2.7501805,0.6729744,-1,SeaTurtleID2022
14748,2.5883026,0.30716762,-1,SeaTurtleID2022
14751,1.7434562,-2.6093986,-1,SeaTurtleID2022
14754,4.8175354,-3.1901615,-1,SeaTurtleID2022
14755,3.3515165,-1.5128356,-1,SeaTurtleID2022
14764,2.911639,-0.32198516,-1,SeaTurtleID2022
14765,3.3708668,-1.5108013,-1,SeaTurtleID2022
14766,2.8502052,-3.0686202,-1,SeaTurtleID2022
14768,4.342921,1.5200111,-1,SeaTurtleID2022
14769,3.71399,-3.6686566,-1,SeaTurtleID2022
14772,5.694373,-1.1207032,-1,SeaTurtleID2022
14775,2.3889897,1.6443365,-1,SeaTurtleID2022
14776,4.8803935,0.34834018,-1,SeaTurtleID2022
14777,2.994357,-2.8951285,-1,SeaTurtleID2022
14778,2.294287,-2.8800557,1,SeaTurtleID2022
14779,5.900674,-0.30408514,-1,SeaTurtleID2022
14781,5.404949,-2.6095665,-1,SeaTurtleID2022
14782,4.343931,1.4888669,-1,SeaTurtleID2022
14783,3.1109307,-3.278492,-1,SeaTurtleID2022
14784,6.1978803,-0.8358035,-1,SeaTurtleID2022
14785,4.0236573,-0.32695833,-1,SeaTurtleID2022
14786,2.0376356,-2.4680932,-1,SeaTurtleID2022
14787,5.3522873,-0.9031875,-1,SeaTurtleID2022
14788,2.0736558,0.57711405,-1,SeaTurtleID2022
14790,4.4113493,-2.944647,-1,SeaTurtleID2022
