image_id,umap_x,umap_y,cluster,dataset
15209,5.126049,5.5817976,-1,TexasHornedLizards
15210,4.5046496,3.981745,-1,TexasHornedLizards
15211,3.825323,2.022512,-1,TexasHornedLizards
15212,2.2319207,2.5425432,-1,TexasHornedLizards
15213,5.96836,5.912772,-1,TexasHornedLizards
15214,5.1126895,5.1583767,-1,TexasHornedLizards
15215,4.0824122,5.6429024,-1,TexasHornedLizards
15216,6.1907034,3.8904524,-1,TexasHornedLizards
15217,5.627804,5.3349643,-1,TexasHornedLizards
15218,2.5361946,3.3188438,-1,TexasHornedLizards
15219,6.093424,3.9586387,-1,TexasHornedLizards
15220,5.337051,4.163439,-1,TexasHornedLizards
15221,2.3667204,2.6504514,-1,TexasHornedLizards
15222,5.813679,5.5142045,-1,TexasHornedLizards
15223,6.420165,5.1601877,-1,TexasHornedLizards
15224,4.3670754,3.4066968,-1,TexasHornedLizards
15225,2.1435003,1.7370411,-1,TexasHornedLizards
15226,4.155685,5.5956573,-1,TexasHornedLizards
15227,5.750236,4.710233,-1,TexasHornedLizards
15228,2.2806625,3.8722641,-1,TexasHornedLizards
15229,4.3685465,5.025134,-1,TexasHornedLizards
15230,5.379675,5.9442835,-1,TexasHornedLizards
15231,2.0842106,0.7492978,-1,TexasHornedLizards
15232,4.763655,5.9333,-1,TexasHornedLizards
15233,3.5563648,3.9676049,-1,TexasHornedLizards
15234,4.450841,5.9658813,-1,TexasHornedLizards
15235,2.3183832,1.1007512,-1,TexasHornedLizards
15236,5.845458,5.4317875,-1,TexasHornedLizards
15237,2.0863147,3.7319756,-1,TexasHornedLizards
15238,1.9365546,3.6266453,-1,TexasHornedLizards
15239,4.047514,2.54176,-1,TexasHornedLizards
15240,2.9896677,0.8948906,-1,TexasHornedLizards
15241,3.9148476,3.403197,-1,TexasHornedLizards
15242,2.3392165,2.0515707,-1,TexasHornedLizards
15243,6.048575,5.4420457,-1,TexasHornedLizards
15244,5.6381493,5.078449,-1,TexasHornedLizards
15245,5.4512367,3.404293,-1,TexasHornedLizards
15246,3.6263602,2.8076844,-1,TexasHornedLizards
15247,5.121033,6.419284,-1,TexasHornedLizards
15248,1.9967604,2.4397972,-1,TexasHornedLizards
15249,4.007018,4.7821116,-1,TexasHornedLizards
15250,1.9453763,3.7053118,-1,TexasHornedLizards
15251,5.4086328,4.3269453,-1,TexasHornedLizards
15252,1.7762604,2.5712054,-1,TexasHornedLizards
15253,4.3272843,2.100464,-1,TexasHornedLizards
15254,1.887274,2.2195394,-1,TexasHornedLizards
15255,2.1469932,3.8994946,-1,TexasHornedLizards
15256,4.5800247,2.4486988,-1,TexasHornedLizards
15257,5.9623146,5.958822,-1,TexasHornedLizards
15258,2.218392,2.0978334,-1,TexasHornedLizards
15259,2.5774286,1.6696434,-1,TexasHornedLizards
15260,2.1759832,2.8452606,-1,TexasHornedLizards
15261,2.7740579,1.6755627,-1,TexasHornedLizards
15262,3.2797072,1.2808626,-1,TexasHornedLizards
15263,4.7460537,6.032138,-1,TexasHornedLizards
15264,5.892111,4.964856,-1,TexasHornedLizards
15265,4.6447906,3.1107342,-1,TexasHornedLizards
15266,5.582029,4.267113,-1,TexasHornedLizards
15267,2.9797633,4.200973,-1,TexasHornedLizards
15268,5.647734,4.676761,-1,TexasHornedLizards
15269,2.9590619,1.0663434,-1,TexasHornedLizards
